,cell_color,cell_age,cell_center,cell_radius,cell_direction_pause,cell_direction_angle,cell_cycle,cell_direction_remember,cell_vision_radius,cell_vision_nconsidered,cell_mutational_rate,cell_mutation_information
119,#39A1C5,25,"(440.8478468995628, 133.5293525728592)",6.25,0.25030245012975016,-0.8329770683312897,0.5840264208690304,0.8453182524349607,3.5475910004614373,2.712575161512502,1e-10,"[['cell_direction_pause', 0.3036426267625189, 1, (0, 1, False)], ['cell_direction_angle', 1, 6.283185307179586, None], ['cell_cycle', 0.4371996038480324, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_radius', 0.5427751273173951, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.5877162713964401, 1, (1, 5, False)], ['cell_mutational_rate', 0.7217929466719811, 1, (1e-10, 5, False)]]"
120,#39A1C5,26,"(176.66674345463295, 347.131769693947)",6.25,0.7400656528741133,-2.993940776594931,0.5000000001,1.0,3.038224078518233,2.492755398531743,1e-10,"[['cell_direction_pause', 0.48892206210821054, 1, (0, 1, False)], ['cell_direction_angle', 0.5600198756309095, 6.283185307179586, None], ['cell_cycle', 0.4013036115752899, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 0.5546182173528944, 1, (0, 1, False)], ['cell_vision_radius', 0.443039144033768, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.46207606868787965, 1, (1, 5, False)], ['cell_mutational_rate', 0.3767700022427574, 1, (1e-10, 5, False)]]"
121,#39A1C5,25,"(298.97083185806775, 313.4122099437966)",6.25,0.25030245012975016,-2.8897181096380997,0.5840264208690304,0.8453182524349607,3.5475910004614373,2.712575161512502,1e-10,"[['cell_direction_pause', 0.3036426267625189, 1, (0, 1, False)], ['cell_direction_angle', 1, 6.283185307179586, None], ['cell_cycle', 0.4371996038480324, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_radius', 0.5427751273173951, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.5877162713964401, 1, (1, 5, False)], ['cell_mutational_rate', 0.7217929466719811, 1, (1e-10, 5, False)]]"
122,#39A1C5,24,"(282.4739515726859, 234.0380285527851)",6.25,0.25030245012975016,-2.142217219394977,0.5840264208690304,0.8453182524349607,3.5475910004614373,2.712575161512502,1e-10,"[['cell_direction_pause', 0.3036426267625189, 1, (0, 1, False)], ['cell_direction_angle', 1, 6.283185307179586, None], ['cell_cycle', 0.4371996038480324, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_radius', 0.5427751273173951, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.5877162713964401, 1, (1, 5, False)], ['cell_mutational_rate', 0.7217929466719811, 1, (1e-10, 5, False)]]"
123,#39A1C5,24,"(421.15946524199154, 357.761275502152)",6.25,0.25030245012975016,0.4015248395300469,0.5840264208690304,0.8453182524349607,3.5475910004614373,2.712575161512502,1e-10,"[['cell_direction_pause', 0.3036426267625189, 1, (0, 1, False)], ['cell_direction_angle', 1, 6.283185307179586, None], ['cell_cycle', 0.4371996038480324, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_radius', 0.5427751273173951, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.5877162713964401, 1, (1, 5, False)], ['cell_mutational_rate', 0.7217929466719811, 1, (1e-10, 5, False)]]"
124,#39A1C5,25,"(74.1685325735536, 127.69488725083922)",6.25,0.25030245012975016,-2.8864639300942687,0.5840264208690304,0.8453182524349607,3.5475910004614373,2.712575161512502,1e-10,"[['cell_direction_pause', 0.3036426267625189, 1, (0, 1, False)], ['cell_direction_angle', 1, 6.283185307179586, None], ['cell_cycle', 0.4371996038480324, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_radius', 0.5427751273173951, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.5877162713964401, 1, (1, 5, False)], ['cell_mutational_rate', 0.7217929466719811, 1, (1e-10, 5, False)]]"
125,#39A1C5,25,"(216.395950908651, 125.34823548008322)",6.25,0.7400656528741133,-2.7631637110777048,0.5000000001,1.0,3.038224078518233,2.492755398531743,1e-10,"[['cell_direction_pause', 0.48892206210821054, 1, (0, 1, False)], ['cell_direction_angle', 0.5600198756309095, 6.283185307179586, None], ['cell_cycle', 0.4013036115752899, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 0.5546182173528944, 1, (0, 1, False)], ['cell_vision_radius', 0.443039144033768, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.46207606868787965, 1, (1, 5, False)], ['cell_mutational_rate', 0.3767700022427574, 1, (1e-10, 5, False)]]"
126,#39A1C5,24,"(248.19842218504027, 372.27290005186944)",6.25,0.25030245012975016,2.683202022478493,0.5840264208690304,0.8453182524349607,3.5475910004614373,2.712575161512502,1e-10,"[['cell_direction_pause', 0.3036426267625189, 1, (0, 1, False)], ['cell_direction_angle', 1, 6.283185307179586, None], ['cell_cycle', 0.4371996038480324, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_radius', 0.5427751273173951, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.5877162713964401, 1, (1, 5, False)], ['cell_mutational_rate', 0.7217929466719811, 1, (1e-10, 5, False)]]"
127,#39A1C5,24,"(394.9103151368776, 279.35724140046506)",6.25,0.25030245012975016,-0.7881831192589119,0.5840264208690304,0.8453182524349607,3.5475910004614373,2.712575161512502,1e-10,"[['cell_direction_pause', 0.3036426267625189, 1, (0, 1, False)], ['cell_direction_angle', 1, 6.283185307179586, None], ['cell_cycle', 0.4371996038480324, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_radius', 0.5427751273173951, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.5877162713964401, 1, (1, 5, False)], ['cell_mutational_rate', 0.7217929466719811, 1, (1e-10, 5, False)]]"
128,#39A1C5,24,"(438.90055483393655, 357.77844985043293)",6.25,0.25030245012975016,0.27991571948207206,0.5840264208690304,0.8453182524349607,3.5475910004614373,2.712575161512502,1e-10,"[['cell_direction_pause', 0.3036426267625189, 1, (0, 1, False)], ['cell_direction_angle', 1, 6.283185307179586, None], ['cell_cycle', 0.4371996038480324, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_radius', 0.5427751273173951, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.5877162713964401, 1, (1, 5, False)], ['cell_mutational_rate', 0.7217929466719811, 1, (1e-10, 5, False)]]"
