,cell_color,cell_radius,cell_center,cell_age,cell_health,cell_metabolic_cost,cell_direction_pause,cell_cycle,cell_repulsion_weight,cell_attraction_weight,cell_vision_scale,cell_vision_nconsidered,cell_mutational_rate,cell_mutation_information
47,#875782,6.25,"(365.4807612032815, 238.86925718504057)",13.0,-1.0547333333333333,0.05517333333333333,0.1884084406833426,1.0464516243055817,0.5290360147991021,0.3438000775806751,2.0870370197616754,1.4825863720759083,1.0,"[['cell_mutational_rate', 1, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.739546617318254, 1, (0, 1, False)], ['cell_cycle', 0.6711395121659812, 1, (0.5000000001, 5, False)], ['cell_repulsion_weight', 1, 1, (-1, 1, False)], ['cell_attraction_weight', 1, 1, (-1, 1, False)], ['cell_vision_scale', 0.47184429583677845, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
48,#CABE12,6.25,"(274.5630760785506, 344.636949002495)",9.04876690444312,1.8193642755562172,0.024608004043519316,0.4458076679199072,1.3194866318410656,0.8681298358581235,0.698664136695335,1.954729877647382,2.4291425263135102,1.6215705982701971,"[['cell_mutational_rate', 1, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_cycle', 0.48170415513892745, 1, (0.5000000001, 5, False)], ['cell_repulsion_weight', 1, 1, (-1, 1, False)], ['cell_attraction_weight', 0.7492815079774724, 1, (-1, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 0.9979680356361431, 1, (1, 100, False)]]"
49,#297359,6.25,"(189.29469027573305, 320.65389109937695)",13.0,-0.4648000000291667,0.038506666668333335,0.45303286922520813,0.945697711669539,-0.11673639028853022,0.4869191285363277,1.8142257925302456,2.3427927108942006,1e-10,"[['cell_mutational_rate', 0.3895869958082647, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.4171513223593914, 1, (0, 1, False)], ['cell_cycle', 0.1992145492548, 1, (0.5000000001, 5, False)], ['cell_repulsion_weight', 0.5952409927846971, 1, (-1, 1, False)], ['cell_attraction_weight', 0.45134651578187157, 1, (-1, 1, False)], ['cell_vision_scale', 0.6337682813101149, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 0.2723417177209371, 1, (1, 100, False)]]"
50,#297359,6.25,"(163.60378271373844, 352.06838118205275)",13.0,-0.815506562659709,0.03979910764421253,0.09073357633396277,0.945697711669539,0.36565918144233095,0.5428984980730167,1.7480446255622235,2.505010518683787,0.07754645865275145,"[['cell_mutational_rate', 0.5279247956230476, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.44445666308529547, 1, (0, 1, False)], ['cell_cycle', 0.24981185560026542, 1, (0.5000000001, 5, False)], ['cell_repulsion_weight', 0.6331164966125774, 1, (-1, 1, False)], ['cell_attraction_weight', 0.25653879612119906, 1, (-1, 1, False)], ['cell_vision_scale', 0.6337682813071233, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 0.2723417177209371, 1, (1, 100, False)]]"
51,#297359,6.25,"(141.60622048921053, 278.6487908838806)",9.050230769440631,0.8346359591226866,0.028075054460542564,0.20003434299940837,0.9148961061045392,0.5360852185502195,0.4834218735365496,1.3260450371887145,2.1996149966733607,1.8294341229090954,"[['cell_mutational_rate', 0.3898448534968453, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.37289512555807036, 1, (0, 1, False)], ['cell_cycle', 0.22155355527203574, 1, (0.5000000001, 5, False)], ['cell_repulsion_weight', 0.4836910429202338, 1, (-1, 1, False)], ['cell_attraction_weight', 0.22510559152730597, 1, (-1, 1, False)], ['cell_vision_scale', 0.8089302873518592, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 0.5331308135907566, 1, (1, 100, False)]]"
52,#875782,6.25,"(356.9208043757599, 278.85203424125814)",12.0,-0.8296666666666668,0.05317333333333333,0.1423998558567176,0.8821783256828861,0.6969178791729241,0.809921696771202,2.2280108989237686,1.6060521445759144,1.0,"[['cell_mutational_rate', 0.8431009148682598, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.24590145202617036, 1, (0, 1, False)], ['cell_cycle', 0.8663665851613789, 1, (0.5000000001, 5, False)], ['cell_repulsion_weight', 0.5672651795315712, 1, (-1, 1, False)], ['cell_attraction_weight', 1, 1, (-1, 1, False)], ['cell_vision_scale', 0.9260950610897717, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 0.7847022738043803, 1, (1, 100, False)]]"
53,#875782,6.25,"(357.56399324031077, 265.0854141273975)",12.0,-0.8178666666666667,0.05317333333333333,0.34902306998581517,0.6099348922120453,0.16073502780279852,0.3298642387107418,2.5173574570047386,1.2705939659760956,1.0,"[['cell_mutational_rate', 0.6637244957082697, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.507161650717656, 1, (0, 1, False)], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_repulsion_weight', 1, 1, (-1, 1, False)], ['cell_attraction_weight', 1, 1, (-1, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 0.5079682513456873, 1, (1, 100, False)]]"
54,#CABE12,6.25,"(207.09118014125838, 352.50500140707555)",12.0,-1.102033885715662,0.048116685079410956,0.0,0.7855734851424081,0.2130883136957511,0.5966390251995997,2.69638057005652,1.8758357757177162,0.696601104764657,"[['cell_mutational_rate', 0.5995173496714038, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.5766809278125351, 1, (0, 1, False)], ['cell_cycle', 0.6283830541254882, 1, (0.5000000001, 5, False)], ['cell_repulsion_weight', 0.9396428929114631, 1, (-1, 1, False)], ['cell_attraction_weight', 0.42733990558914947, 1, (-1, 1, False)], ['cell_vision_scale', 0.3411407581840213, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 0.43236241971894074, 1, (1, 100, False)]]"
55,#875782,6.25,"(336.40781490062557, 316.2607734301174)",12.0,-1.2537333333333334,0.05317333333333333,0.0,0.7778646723721915,0.29940329803804033,0.8895570378244142,2.1224077566339226,1.6834611276036473,1.0,"[['cell_mutational_rate', 0.3647274462008955, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.8037136236756022, 1, (0, 1, False)], ['cell_cycle', 0.6450399516747505, 1, (0.5000000001, 5, False)], ['cell_repulsion_weight', 0.8232462592736013, 1, (-1, 1, False)], ['cell_attraction_weight', 0.8925173043702669, 1, (-1, 1, False)], ['cell_vision_scale', 0.37563890896040386, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
56,#CABE12,6.25,"(288.23585348305073, 351.90469023907843)",7.070046242144769,0.8135920281536109,0.012034050030748245,0.06044081698884435,0.9493981520047106,-0.6034549693494353,0.9185529829892544,2.199367290296668,1.869786193936226,1.0764624162876086,"[['cell_mutational_rate', 1, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_repulsion_weight', 1, 1, (-1, 1, False)], ['cell_attraction_weight', 0.8103832888030523, 1, (-1, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 0.41835913407578584, 1, (1, 100, False)]]"
57,#297359,6.25,"(174.1411883977213, 320.1604846771645)",12.0,-0.807968707709725,0.043182748308389,0.09073357633396277,0.821806015437275,0.38145120970007235,0.7210865816126637,1.7373865580306298,2.3427927108942006,0.4005648985033398,"[['cell_mutational_rate', 0.3895869958082647, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.5569718904444368, 1, (0, 1, False)], ['cell_cycle', 0.19921454920291104, 1, (0.5000000001, 5, False)], ['cell_repulsion_weight', 0.7330483849049014, 1, (-1, 1, False)], ['cell_attraction_weight', 0.8238724640075096, 1, (-1, 1, False)], ['cell_vision_scale', 0.9499839952063256, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 0.2723417177209371, 1, (1, 100, False)]]"
58,#875782,6.25,"(340.82290347039157, 206.02161131111768)",7.023803358074362,2.3247001787682193,-0.0059860271581508254,0.0,1.133377543567588,0.6239559740227936,0.8881740634538416,2.1729797625509475,1.4305456880862182,8.43663496355787e-11,"[['cell_mutational_rate', 0.46561944987416015, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.47948523006882604, 1, (0, 1, False)], ['cell_cycle', 0.5620639106363342, 1, (0.5000000001, 5, False)], ['cell_repulsion_weight', 0.6973607304015478, 1, (-1, 1, False)], ['cell_attraction_weight', 0.4982893766099632, 1, (-1, 1, False)], ['cell_vision_scale', 0.4364954774041873, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 0.5664509996749288, 1, (1, 100, False)]]"
59,#CABE12,6.25,"(271.02872010493036, 350.57302069363664)",12.0,-0.3820925790970485,0.039215060828692125,0.4458076679199072,1.0738238131777342,1.0,1.0,1.326904642116135,2.283230638244528,0.1625036497215273,"[['cell_mutational_rate', 1, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_cycle', 0.5684675651144007, 1, (0.5000000001, 5, False)], ['cell_repulsion_weight', 1, 1, (-1, 1, False)], ['cell_attraction_weight', 0.8130048677806742, 1, (-1, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
60,#CABE12,6.25,"(254.3103164958494, 369.127212762096)",12.0,-0.8654021078070027,0.040228959149122306,0.0,0.5013825725014391,0.1874435537501955,0.4079500988408553,1.6369255046744422,1.8279445920033353,0.2233375489473386,"[['cell_mutational_rate', 1, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_repulsion_weight', 1, 1, (-1, 1, False)], ['cell_attraction_weight', 1, 1, (-1, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 0.5177996564276618, 1, (1, 100, False)]]"
