round,clone,count
20,#BCCEF4,1
20,#7D016C,1
20,#332364,1
20,#B44564,1
20,#41D085,1
20,#FF3453,1
20,#68B7F6,1
20,#A54B95,1
20,#A585D5,1
20,#6D8CBF,1
20,#8993AB,1
20,#FB5195,6
20,#74B6C8,3
20,#D8FB81,1
20,#DDAC99,1
20,#8E1743,1
20,#E94B7A,1
20,#930CDE,1
